stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,
8052, ,22ND STREET STATION,SKYTRAIN @ 22ND ST STN,49.20002,-122.948939,ZN 2, ,0,
8065, ,22ND STREET STATION,SKYTRAIN @ 22ND ST STN,49.200083,-122.948971,ZN 2, ,0,
8046, ,29TH AVENUE STATION,SKYTRAIN @ 29TH AV STN,49.244236,-123.046136,ZN 1, ,0,
8071, ,29TH AVENUE STATION,SKYTRAIN @ 29TH AV STN,49.24431,-123.04608,ZN 1, ,0,
11291, ,ABERDEEN STATION,SKYTRAIN @ ABERDEEN STN,49.184214,-123.13621,ZN 2, ,0,
11290, ,ABERDEEN STATION,SKYTRAIN @ ABERDEEN STN,49.184213,-123.136453,ZN 2, ,0,
8578, ,BRAID STATION,SKYTRAIN @ BRAID STN,49.233235,-122.882717,ZN 2, ,0,
8577, ,BRAID STATION,SKYTRAIN @ BRAID STN,49.233235,-122.882831,ZN 2, ,0,
8750, ,BRENTWOOD TOWN CENTRE STATION,SKYTRAIN @ BRENTWOOD STN,49.266431,-123.001813,ZN 2, ,0,
8759, ,BRENTWOOD TOWN CENTRE STATION,SKYTRAIN @ BRENTWOOD STN,49.266352,-123.001813,ZN 2, ,0,
11289, ,BRIDGEPORT STATION,SKYTRAIN @ BRIDGEPORT STN,49.195679,-123.125673,ZN 2, ,0,
11288, ,BRIDGEPORT STATION,SKYTRAIN @ BRIDGEPORT STN,49.195824,-123.125809,ZN 2, ,0,
11295, ,RICHMOND-BRIGHOUSE STATION,SKYTRAIN @ BRIGHOUSE STN,49.167558,-123.136299,ZN 2, ,0,
11294, ,RICHMOND-BRIGHOUSE STATION,SKYTRAIN @ BRIGHOUSE STN,49.167558,-123.136381,ZN 2, ,0,
11279, ,BROADWAY-CITY HALL STATION,SKYTRAIN @ BROADWAY-CITY HALL STN,49.263139,-123.114694,ZN 1, ,0,
11278, ,BROADWAY-CITY HALL STATION,SKYTRAIN @ BROADWAY-CITY HALL STN,49.263121,-123.114816,ZN 1, ,0,
8040, ,BURRARD STATION,SKYTRAIN @ BURRARD STN,49.285634,-123.119515,ZN 1, ,0,
8077, ,BURRARD STATION,SKYTRAIN @ BURRARD STN,49.28558,-123.119598,ZN 1, ,0,
8054, ,COLUMBIA STATION,SKYTRAIN @ COLUMBIA STN,49.204777,-122.906118,ZN 2, ,0,
8063, ,COLUMBIA STATION,SKYTRAIN @ COLUMBIA STN,49.204859,-122.906186,ZN 2, ,0,
8754, ,COMMERCIAL-BROADWAY STATION PLATFORM 1,SKYTRAIN @ COMMERCIAL-BROADWAY STN,49.26298,-123.068426,ZN 1, ,0,
8044, ,COMMERCIAL-BROADWAY STATION PLATFORM 4,SKYTRAIN @ COMMERCIAL-BROADWAY STN,49.262317,-123.069179,ZN 1, ,0,
8763, ,COMMERCIAL-BROADWAY STATION PLATFORM 2,SKYTRAIN @ COMMERCIAL-BROADWAY STN,49.262912,-123.068491,ZN 1, ,0,
8073, ,COMMERCIAL-BROADWAY STATION PLATFORM 3,SKYTRAIN @ COMMERCIAL-BROADWAY STN,49.262311,-123.069077,ZN 1, ,0,
8051, ,EDMONDS STATION,SKYTRAIN @ EDMONDS STN,49.211909,-122.959156,ZN 2, ,0,
8066, ,EDMONDS STATION,SKYTRAIN @ EDMONDS STN,49.211945,-122.95904,ZN 2, ,0,
8056, ,GATEWAY STATION,SKYTRAIN @ GATEWAY STN,49.198946,-122.850673,ZN 3, ,0,
8061, ,GATEWAY STATION,SKYTRAIN @ GATEWAY STN,49.198955,-122.850542,ZN 3, ,0,
8751, ,GILMORE STATION,SKYTRAIN @ GILMORE STN,49.265002,-123.013571,ZN 2, ,0,
8760, ,GILMORE STATION,SKYTRAIN @ GILMORE STN,49.264931,-123.013498,ZN 2, ,0,
8041, ,GRANVILLE STATION,SKYTRAIN @ GRANVILLE STN,49.283136,-123.115744,ZN 1, ,0,
8076, ,GRANVILLE STATION,SKYTRAIN @ GRANVILLE STN,49.283193,-123.115674,ZN 1, ,0,
8749, ,HOLDOM STATION,SKYTRAIN @ HOLDOM STN,49.264753,-122.982149,ZN 2, ,0,
8758, ,HOLDOM STATION,SKYTRAIN @ HOLDOM STN,49.264705,-122.982158,ZN 2, ,0,
8047, ,JOYCE-COLLINGWOOD STATION,SKYTRAIN @ JOYCE STN,49.238353,-123.031827,ZN 1, ,0,
8070, ,JOYCE-COLLINGWOOD STATION,SKYTRAIN @ JOYCE STN,49.23843,-123.031759,ZN 1, ,0,
11281, ,KING EDWARD STATION,SKYTRAIN @ KING EDWARD STN,49.249119,-123.115505,ZN 1, ,0,
11280, ,KING EDWARD STATION,SKYTRAIN @ KING EDWARD STN,49.249119,-123.115505,ZN 1, ,0,
8058, ,KING GEORGE STATION,SKYTRAIN @ KING GEORGE STN,49.182755,-122.844744,ZN 3, ,0,
8059, ,KING GEORGE STATION,SKYTRAIN @ KING GEORGE STN,49.182812,-122.844691,ZN 3, ,0,
9510, ,LAKE CITY WAY STATION,SKYTRAIN @ LAKE CITY WAY STN,49.254654,-122.939183,ZN 2, ,0,
9511, ,LAKE CITY WAY STATION,SKYTRAIN @ LAKE CITY WAY STN,49.254609,-122.939183,ZN 2, ,0,
11285, ,LANGARA-49TH AVENUE STATION,SKYTRAIN @ LANGARA-49TH AVENUE STN,49.226087,-123.116333,ZN 1, ,0,
11284, ,LANGARA-49TH AVENUE STATION,SKYTRAIN @ LANGARA-49TH AVENUE STN,49.226087,-123.116387,ZN 1, ,0,
11293, ,LANSDOWNE STATION,SKYTRAIN @ LANSDOWNE STN,49.174519,-123.13637,ZN 2, ,0,
11292, ,LANSDOWNE STATION,SKYTRAIN @ LANSDOWNE STN,49.174518,-123.136614,ZN 2, ,0,
8746, ,LOUGHEED TOWN CENTRE STATION,SKYTRAIN @ LOUGHEED STN,49.248549,-122.896879,ZN2/3, ,0,
8755, ,LOUGHEED TOWN CENTRE STATION,SKYTRAIN @ LOUGHEED STN,49.248484,-122.896952,ZN2/3, ,0,
8043, ,MAIN STREET-SCIENCE WORLD STATION,SKYTRAIN @ MAIN STREET STN,49.273099,-123.100399,ZN 1, ,0,
8074, ,MAIN STREET-SCIENCE WORLD STATION,SKYTRAIN @ MAIN STREET STN,49.273172,-123.10035,ZN 1, ,0,
11287, ,MARINE DRIVE STATION,SKYTRAIN @ MARINE DRIVE STN,49.20981,-123.116957,ZN 1, ,0,
11286, ,MARINE DRIVE STATION,SKYTRAIN @ MARINE DRIVE STN,49.209801,-123.117038,ZN 1, ,0,
8049, ,METROTOWN STATION,SKYTRAIN @ METROTOWN STN,49.225699,-123.003787,ZN 2, ,0,
8068, ,METROTOWN STATION,SKYTRAIN @ METROTOWN STN,49.225697,-123.003384,ZN 2, ,0,
8045, ,NANAIMO STATION,SKYTRAIN @ NANAIMO STN,49.248283,-123.055904,ZN 1, ,0,
8072, ,NANAIMO STATION,SKYTRAIN @ NANAIMO STN,49.248334,-123.055868,ZN 1, ,0,
8053, ,NEW WESTMINSTER STATION,SKYTRAIN @ NEW WESTMINSTER STN,49.201406,-122.912573,ZN 2, ,0,
8064, ,NEW WESTMINSTER STATION,SKYTRAIN @ NEW WESTMINSTER STN,49.201459,-122.912629,ZN 2, ,0,
11283, ,OAKRIDGE-41ST AVENUE STATION,SKYTRAIN @ OAKRIDGE-41ST AVENUE STN,49.233469,-123.11639,ZN 1, ,0,
11282, ,OAKRIDGE-41ST AVENUE STATION,SKYTRAIN @ OAKRIDGE-41ST AVENUE STN,49.233469,-123.11639,ZN 1, ,0,
11277, ,OLYMPIC VILLAGE STATION,SKYTRAIN @ OLYMPIC VILLAGE STN,49.266611,-123.11544,ZN 1, ,0,
11276, ,OLYMPIC VILLAGE STATION,SKYTRAIN @ OLYMPIC VILLAGE STN,49.266592,-123.115494,ZN 1, ,0,
8048, ,PATTERSON STATION,SKYTRAIN @ PATTERSON STN,49.229712,-123.012678,ZN 2, ,0,
8069, ,PATTERSON STATION,SKYTRAIN @ PATTERSON STN,49.229798,-123.012613,ZN 2, ,0,
8747, ,PRODUCTION WAY-UNIVERSITY STATION,SKYTRAIN @ PRODUCTION WAY STN,49.253465,-122.918191,ZN 2, ,0,
8756, ,PRODUCTION WAY-UNIVERSITY STATION,SKYTRAIN @ PRODUCTION WAY STN,49.253364,-122.918218,ZN 2, ,0,
8753, ,RENFREW STATION,SKYTRAIN @ RENFREW STN,49.258942,-123.045374,ZN 1, ,0,
8762, ,RENFREW STATION,SKYTRAIN @ RENFREW STN,49.258877,-123.045348,ZN 1, ,0,
8050, ,ROYAL OAK STATION,SKYTRAIN @ ROYAL OAK STN,49.220013,-122.988475,ZN 2, ,0,
8067, ,ROYAL OAK STATION,SKYTRAIN @ ROYAL OAK STN,49.22011,-122.98844,ZN 2, ,0,
8752, ,RUPERT STATION,SKYTRAIN @ RUPERT STN,49.260815,-123.032869,ZN 1, ,0,
8761, ,RUPERT STATION,SKYTRAIN @ RUPERT STN,49.260733,-123.032821,ZN 1, ,0,
8580, ,SAPPERTON STATION,SKYTRAIN @ SAPPERTON STN,49.22462,-122.88931,ZN 2, ,0,
8579, ,SAPPERTON STATION,SKYTRAIN @ SAPPERTON STN,49.224699,-122.889423,ZN 2, ,0,
8055, ,SCOTT ROAD STATION,SKYTRAIN @ SCOTT ROAD STN,49.204383,-122.874171,ZN 3, ,0,
8062, ,SCOTT ROAD STATION,SKYTRAIN @ SCOTT ROAD STN,49.204448,-122.874185,ZN 3, ,0,
11299, ,SEA ISLAND CENTRE STATION,SKYTRAIN @ SEA ISLAND STN,49.193078,-123.158979,CL_AD, ,0,
11298, ,SEA ISLAND CENTRE STATION,SKYTRAIN @ SEA ISLAND STN,49.193133,-123.158979,ZN 2, ,0,
8748, ,SPERLING-BURNABY LAKE STATION,SKYTRAIN @ SPERLING STN,49.259213,-122.963982,ZN 2, ,0,
8757, ,SPERLING-BURNABY LAKE STATION,SKYTRAIN @ SPERLING STN,49.259154,-122.963991,ZN 2, ,0,
8042, ,STADIUM-CHINATOWN STATION,SKYTRAIN @ STADIUM STN,49.279178,-123.109213,ZN 1, ,0,
8075, ,STADIUM-CHINATOWN STATION,SKYTRAIN @ STADIUM STN,49.279271,-123.109109,ZN 1, ,0,
8057, ,SURREY CENTRAL STATION,SKYTRAIN @ SURREY CENTRAL STN,49.189549,-122.847914,ZN 3, ,0,
8060, ,SURREY CENTRAL STATION,SKYTRAIN @ SURREY CENTRAL STN,49.189561,-122.847796,ZN 3, ,0,
11297, ,TEMPLETON STATION,SKYTRAIN @ TEMPLETON STN,49.196654,-123.146306,CL_AD, ,0,
11296, ,TEMPLETON STATION,SKYTRAIN @ TEMPLETON STN,49.196714,-123.146335,ZN 2, ,0,
11273, ,VANCOUVER CITY CENTRE STATION,SKYTRAIN @ VANCOUVER CITY CENTRE STN,49.282411,-123.118324,ZN 1, ,0,
11272, ,VANCOUVER CITY CENTRE STATION,SKYTRAIN @ VANCOUVER CITY CENTRE STN,49.282484,-123.118419,ZN 1, ,0,
10375, ,VCC-CLARK STATION,SKYTRAIN @ VCC-CLARK STN,49.265873,-123.079049,ZN 1, ,0,
10374, ,VCC-CLARK STATION,SKYTRAIN @ VCC-CLARK STN,49.265799,-123.079054,ZN 1, ,0,
12034, ,WATERFRONT STATION ALL LINES,SKYTRAIN @ WATERFRONT STATION,49.285687,-123.111773,ZN 1, ,1,12034
11303, ,WATERFRONT STATION CANADA LINE,SKYTRAIN @ WATERFRONT STN,49.285208,-123.114024,ZN 1, ,0,12034
11302, ,WATERFRONT STATION CANADA LINE,SKYTRAIN @ WATERFRONT STN,49.285245,-123.114078,ZN 1, ,0,12034
8039, ,WATERFRONT STATION,SKYTRAIN @ WATERFRONT STN,49.285907,-123.111578,ZN 1, ,0,12034
8078, ,WATERFRONT STATION,SKYTRAIN @ WATERFRONT STN,49.285962,-123.111516,ZN 1, ,0,
11275, ,YALETOWN-ROUNDHOUSE STATION,SKYTRAIN @ YALETOWN-ROUNDHOUSE STN,49.274356,-123.121842,ZN 1, ,0,
11274, ,YALETOWN-ROUNDHOUSE STATION,SKYTRAIN @ YALETOWN-ROUNDHOUSE STN,49.274356,-123.121842,ZN 1, ,0,
11301, ,YVR-AIRPORT STATION,SKYTRAIN @ YVR-AIRPORT STN,49.194249,-123.177789,CL_AD, ,0,
11300, ,YVR-AIRPORT STATION,SKYTRAIN @ YVR-AIRPORT STN,49.194413,-123.177736,ZN 2, ,0,